	userID	ISBN	bookRating
0	8	1552041778	5
1	277478	0440234743	0
2	278144	0440234743	0
3	9	0440234743	0
4	243	0440234743	0
5	388	0440234743	0
6	2977	0440234743	0
7	3329	0440234743	8
8	3363	0440234743	0
9	5760	0440234743	0
10	6795	0440234743	0
11	7346	0440234743	9
12	7352	0440234743	8
13	9419	0440234743	5
14	9747	0440234743	0
15	9856	0440234743	0
16	11224	0440234743	6
17	11676	0440234743	9
18	12685	0440234743	10
19	12923	0440234743	10
20	13552	0440234743	8
21	13582	0440234743	0
22	14521	0440234743	0
23	16666	0440234743	0
24	16795	0440234743	0
25	17761	0440234743	0
26	19445	0440234743	0
27	20435	0440234743	0
28	20462	0440234743	0
29	20783	0440234743	0
30	20801	0440234743	8
31	20916	0440234743	7
32	21264	0440234743	5
33	23511	0440234743	8
34	23768	0440234743	0
35	26240	0440234743	5
36	26544	0440234743	0
37	26593	0440234743	0
38	27684	0440234743	9
39	28123	0440234743	9
40	28619	0440234743	0
41	29654	0440234743	0
42	30487	0440234743	0
43	30533	0440234743	6
44	31299	0440234743	10
45	31315	0440234743	10
46	31556	0440234743	0
47	31560	0440234743	6
48	31694	0440234743	0
49	32516	0440234743	0
50	35857	0440234743	0
51	35859	0440234743	0
52	36606	0440234743	0
53	37874	0440234743	0
54	38718	0440234743	9
55	38991	0440234743	8
56	39345	0440234743	0
57	39646	0440234743	0
58	40889	0440234743	0
59	41781	0440234743	0
60	44663	0440234743	8
61	45585	0440234743	7
62	46389	0440234743	8
63	46398	0440234743	0
64	46767	0440234743	9
65	47971	0440234743	0
66	48268	0440234743	0
67	48911	0440234743	10
68	49168	0440234743	9
69	49994	0440234743	0
70	52584	0440234743	0
71	52994	0440234743	0
72	54005	0440234743	9
73	54884	0440234743	8
74	55027	0440234743	7
75	55419	0440234743	0
76	55492	0440234743	0
77	57108	0440234743	0
78	57423	0440234743	8
79	57632	0440234743	5
80	59038	0440234743	0
81	59390	0440234743	0
82	60130	0440234743	0
83	60569	0440234743	0
84	60683	0440234743	0
85	62667	0440234743	8
86	62881	0440234743	0
87	63470	0440234743	0
88	64535	0440234743	7
89	64605	0440234743	0
90	64679	0440234743	0
91	66387	0440234743	6
92	67487	0440234743	6
93	68256	0440234743	0
94	68537	0440234743	10
95	69232	0440234743	0
96	70205	0440234743	0
97	70666	0440234743	7
98	72523	0440234743	0
99	72912	0440234743	0
100	72975	0440234743	7
101	74709	0440234743	0
102	75691	0440234743	9
103	75819	0440234743	7
104	76352	0440234743	0
105	76368	0440234743	0
106	76942	0440234743	0
107	78165	0440234743	10
108	78754	0440234743	8
109	78834	0440234743	0
110	78973	0440234743	7
111	79186	0440234743	0
112	79740	0440234743	7
113	80810	0440234743	0
114	81088	0440234743	0
115	81298	0440234743	0
116	82114	0440234743	9
117	82893	0440234743	0
118	83034	0440234743	0
119	84024	0440234743	0
120	84611	0440234743	8
121	85534	0440234743	7
122	86303	0440234743	0
123	86969	0440234743	8
124	87257	0440234743	0
125	87929	0440234743	0
126	88006	0440234743	4
127	90322	0440234743	0
128	91633	0440234743	0
129	91832	0440234743	0
130	93055	0440234743	7
131	93363	0440234743	0
132	93643	0440234743	10
133	93772	0440234743	9
134	93800	0440234743	6
135	94074	0440234743	0
136	94139	0440234743	8
137	94396	0440234743	0
138	97721	0440234743	0
139	98012	0440234743	0
140	98468	0440234743	0
141	98723	0440234743	0
142	98923	0440234743	7
143	100009	0440234743	0
144	100393	0440234743	5
145	101209	0440234743	7
146	102647	0440234743	0
147	102967	0440234743	0
148	103315	0440234743	0
149	103416	0440234743	0
150	105124	0440234743	6
151	105624	0440234743	0
152	105937	0440234743	0
153	105979	0440234743	5
154	106230	0440234743	9
155	106273	0440234743	0
156	107201	0440234743	0
157	107244	0440234743	0
158	107784	0440234743	9
159	108143	0440234743	9
160	108207	0440234743	0
161	108247	0440234743	10
162	110127	0440234743	5
163	110440	0440234743	0
164	110558	0440234743	5
165	110973	0440234743	0
166	112001	0440234743	0
167	112093	0440234743	4
168	112280	0440234743	0
169	113328	0440234743	10
170	114544	0440234743	0
171	115003	0440234743	0
172	115120	0440234743	0
173	116127	0440234743	8
174	116428	0440234743	0
175	117594	0440234743	0
176	118659	0440234743	8
177	119332	0440234743	0
178	120396	0440234743	10
179	120771	0440234743	8
180	122251	0440234743	7
181	122440	0440234743	9
182	122658	0440234743	0
183	123137	0440234743	7
184	123430	0440234743	5
185	123790	0440234743	0
186	123981	0440234743	0
187	124259	0440234743	0
188	124363	0440234743	0
189	124487	0440234743	10
190	125039	0440234743	0
191	125519	0440234743	8
192	126492	0440234743	0
193	127200	0440234743	0
194	128185	0440234743	6
195	128208	0440234743	0
196	128463	0440234743	7
197	129084	0440234743	0
198	130784	0440234743	8
199	131046	0440234743	0
200	131681	0440234743	9
201	131703	0440234743	9
202	131837	0440234743	0
203	132144	0440234743	9
204	133706	0440234743	8
205	133738	0440234743	0
206	134264	0440234743	0
207	134797	0440234743	8
208	134863	0440234743	8
209	135149	0440234743	0
210	135831	0440234743	0
211	136096	0440234743	0
212	136396	0440234743	0
213	136707	0440234743	6
214	137589	0440234743	0
215	140824	0440234743	0
216	141444	0440234743	0
217	142093	0440234743	0
218	143134	0440234743	10
219	143253	0440234743	0
220	143939	0440234743	9
221	144062	0440234743	10
222	144255	0440234743	5
223	144478	0440234743	0
224	144531	0440234743	0
225	145619	0440234743	0
226	146113	0440234743	0
227	146279	0440234743	8
228	146816	0440234743	10
229	147965	0440234743	0
230	148879	0440234743	0
231	149120	0440234743	7
232	150400	0440234743	10
233	150896	0440234743	0
234	151004	0440234743	9
235	151063	0440234743	10
236	152354	0440234743	0
237	152696	0440234743	0
238	153513	0440234743	6
239	153718	0440234743	0
240	154730	0440234743	7
241	155495	0440234743	0
242	156300	0440234743	0
243	159440	0440234743	0
244	159506	0440234743	8
245	160735	0440234743	7
246	160819	0440234743	0
247	161870	0440234743	5
248	163194	0440234743	7
249	163693	0440234743	6
250	164323	0440234743	0
251	165618	0440234743	7
252	165842	0440234743	7
253	165884	0440234743	7
254	166391	0440234743	10
255	167038	0440234743	9
256	167800	0440234743	0
257	168132	0440234743	0
258	169403	0440234743	0
259	170518	0440234743	0
260	170580	0440234743	8
261	171078	0440234743	0
262	172539	0440234743	0
263	172742	0440234743	0
264	173415	0440234743	0
265	173684	0440234743	0
266	174642	0440234743	0
267	175117	0440234743	0
268	176477	0440234743	0
269	176709	0440234743	0
270	176790	0440234743	0
271	176894	0440234743	0
272	178130	0440234743	0
273	179068	0440234743	0
274	181519	0440234743	0
275	182459	0440234743	0
276	182746	0440234743	5
277	185384	0440234743	0
278	185722	0440234743	0
279	186570	0440234743	0
280	187266	0440234743	0
281	187533	0440234743	7
282	187944	0440234743	6
283	189655	0440234743	9
284	190741	0440234743	0
285	192353	0440234743	0
286	192399	0440234743	6
287	192621	0440234743	0
288	193529	0440234743	7
289	193898	0440234743	9
290	195347	0440234743	7
291	195469	0440234743	0
292	195694	0440234743	0
293	197364	0440234743	0
294	197659	0440234743	0
295	198046	0440234743	8
296	198412	0440234743	0
297	198483	0440234743	10
298	198711	0440234743	0
299	199092	0440234743	3
300	199640	0440234743	0
301	200234	0440234743	0
302	200402	0440234743	8
303	200674	0440234743	0
304	201548	0440234743	0
305	202619	0440234743	0
306	203649	0440234743	0
307	203968	0440234743	0
308	204504	0440234743	6
309	205963	0440234743	9
310	206423	0440234743	4
311	207259	0440234743	0
312	207291	0440234743	0
313	207782	0440234743	0
314	207825	0440234743	7
315	208147	0440234743	0
316	208607	0440234743	0
317	210276	0440234743	0
318	210717	0440234743	5
319	210838	0440234743	0
320	211321	0440234743	8
321	212806	0440234743	0
322	213220	0440234743	0
323	213733	0440234743	0
324	213760	0440234743	0
325	214786	0440234743	9
326	215256	0440234743	5
327	215949	0440234743	0
328	216670	0440234743	8
329	216683	0440234743	9
330	217375	0440234743	0
331	217516	0440234743	8
332	217986	0440234743	0
333	218121	0440234743	8
334	221445	0440234743	0
335	222217	0440234743	4
336	223331	0440234743	7
337	224435	0440234743	0
338	224764	0440234743	0
339	225717	0440234743	0
340	225810	0440234743	0
341	225826	0440234743	0
342	225989	0440234743	0
343	226638	0440234743	0
344	227392	0440234743	7
345	228187	0440234743	0
346	229011	0440234743	7
347	229609	0440234743	0
348	230522	0440234743	0
349	231237	0440234743	0
350	231865	0440234743	0
351	232131	0440234743	7
352	232271	0440234743	0
353	232945	0440234743	9
354	233731	0440234743	7
355	234623	0440234743	0
356	235059	0440234743	0
357	235842	0440234743	0
358	235935	0440234743	0
359	236172	0440234743	10
360	240024	0440234743	0
361	240144	0440234743	0
362	240567	0440234743	5
363	240951	0440234743	10
364	241306	0440234743	0
365	241548	0440234743	0
366	241666	0440234743	8
367	241980	0440234743	9
368	242843	0440234743	0
369	242891	0440234743	0
370	243930	0440234743	9
371	244349	0440234743	0
372	244627	0440234743	10
373	244761	0440234743	6
374	245616	0440234743	10
375	245827	0440234743	0
376	245963	0440234743	0
377	246333	0440234743	0
378	246550	0440234743	0
379	246655	0440234743	0
380	249954	0440234743	0
381	250101	0440234743	9
382	250184	0440234743	0
383	251122	0440234743	9
384	251377	0440234743	0
385	251613	0440234743	0
386	251851	0440234743	0
387	252777	0440234743	0
388	253106	0440234743	0
389	254971	0440234743	0
390	255719	0440234743	0
391	256407	0440234743	0
392	256925	0440234743	8
393	258534	0440234743	8
394	258884	0440234743	5
395	259078	0440234743	8
396	259223	0440234743	8
397	259543	0440234743	6
398	259778	0440234743	0
399	259846	0440234743	10
400	260897	0440234743	0
401	261378	0440234743	8
402	261829	0440234743	0
403	262846	0440234743	0
404	263163	0440234743	0
405	263644	0440234743	0
406	263877	0440234743	0
407	265115	0440234743	0
408	265276	0440234743	8
409	265313	0440234743	0
410	266268	0440234743	10
411	267549	0440234743	7
412	268330	0440234743	0
413	269566	0440234743	0
414	269614	0440234743	0
415	271284	0440234743	0
416	271558	0440234743	0
417	273190	0440234743	10
418	273979	0440234743	9
419	274167	0440234743	0
420	274308	0440234743	0
421	274823	0440234743	10
422	276641	0440234743	6
423	277965	0345402871	0
424	16	0345402871	9
425	6007	0345402871	0
426	10215	0345402871	3
427	11120	0345402871	0
428	11676	0345402871	0
429	12569	0345402871	0
430	13582	0345402871	0
431	14768	0345402871	0
432	14801	0345402871	7
433	16795	0345402871	0
434	17183	0345402871	0
435	17761	0345402871	0
436	19011	0345402871	9
437	20409	0345402871	0
